@relation bookkeeper
@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute CHURN numeric
@attribute AVERAGE_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVERAGE_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute N_FIX numeric
@attribute Buggy {true,false}
@data
6367,6367,6367,6033,6033,12338,12338,2,2,0,true
153,153,153,0,0,0,0,2,2,0,false
43,43,43,0,0,0,0,1,1,0,true
41,41,41,0,0,0,0,2,2,0,false
105,105,105,2,4,5,9,3,2,0,true
105,105,105,0,0,0,0,5,3,0,true
92,92,92,1,3,3,7,4,3,0,true
101,101,101,0,0,1,1,3,2,0,false
45,45,45,0,0,0,0,1,1,0,false
289,289,289,0,0,0,0,2,2,0,true
32,32,32,0,0,1,1,2,2,0,true
111,111,111,0,0,0,0,1,1,0,false
35,35,35,0,0,0,0,2,2,0,false
81,81,81,0,0,0,0,1,1,0,true
27,27,27,0,0,0,0,1,1,0,false
28,28,28,0,0,0,0,1,1,0,false
29,29,29,0,0,0,0,2,2,0,true
566,566,566,0,0,0,1,4,3,0,true
64,64,64,0,0,0,0,2,2,0,false
29,29,29,0,0,0,0,2,2,0,false
64,64,64,0,0,0,0,2,2,0,false
37,37,37,0,0,0,0,2,2,0,false
68,68,68,0,0,0,0,2,2,0,true
154,154,154,0,0,1,1,3,2,0,true
72,72,72,0,0,0,0,2,2,0,true
385,385,385,0,0,-2,2,6,3,0,true
76,76,76,0,0,0,0,2,2,0,false
159,159,159,0,0,1,1,3,2,0,false
737,737,737,0,0,1,1,3,2,0,true
74,74,74,0,0,0,0,2,2,0,false
94,94,94,0,0,1,1,3,2,0,false
22,22,22,0,0,0,0,1,1,0,false
427,427,427,0,0,1,1,3,2,0,true
62,62,62,0,0,0,0,1,1,0,false
58,58,58,0,0,0,0,2,2,0,false
91,91,91,0,0,0,0,2,2,0,false
27,27,27,0,0,0,0,2,2,0,false
77,77,77,0,0,0,0,2,2,0,false
704,704,704,0,0,1,1,3,2,0,true
63,63,63,0,0,0,0,2,2,0,false
37,37,37,0,0,0,0,1,1,0,false
64,64,64,0,0,0,0,2,2,0,false
124,124,124,0,0,0,0,2,2,0,false
160,160,160,0,0,0,1,4,2,0,true
36,36,36,0,0,0,0,2,2,0,true
58,58,58,0,0,1,1,2,2,0,false
62,62,62,0,0,0,0,1,1,0,false
130,130,130,0,0,0,1,4,2,0,true
74,74,74,0,0,1,1,2,2,0,true
83,83,83,0,0,1,1,3,2,0,false
74,74,74,0,0,0,0,1,1,0,false
48,48,48,0,0,0,0,2,2,0,false
60,60,60,0,0,0,0,2,2,0,false
70,70,70,0,0,0,0,3,2,0,false
183,183,183,0,0,2,3,4,2,0,true
53,53,53,0,0,0,0,1,1,0,false
452,452,452,0,0,0,1,4,2,0,true
39,39,39,0,0,0,0,1,1,0,false
78,78,78,0,0,0,0,2,2,0,false
64,64,64,0,0,0,0,2,2,0,true
31,31,31,0,0,0,0,2,2,0,false
57,57,57,0,0,0,0,2,2,0,false
104,104,104,0,0,0,0,2,2,0,true
32,32,32,0,0,0,0,1,1,0,true
227,227,227,4,8,9,17,3,2,0,false
197,197,197,0,0,9,10,4,3,0,true
75,75,75,0,0,0,0,2,2,0,true
28,28,28,0,0,0,0,1,1,0,false
