Project,#TrainingRelease,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,Kappa,AUC
bookkeeper,3,IBK,NONE,OVER_SAMPLING,NONE,0.966527,0.577500,0.130070,0.732532
bookkeeper,3,RANDOM_FOREST,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.965839,0.777500,0.260420,0.802981
bookkeeper,3,NAIVE_BAYES,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.959885,0.837500,0.300941,0.822660
bookkeeper,3,IBK,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.967213,0.590000,0.137209,0.732532
bookkeeper,3,RANDOM_FOREST,NONE,SMOTE,NONE,0.975000,0.487500,0.108414,0.781731
bookkeeper,3,NAIVE_BAYES,NONE,SMOTE,NONE,0.966258,0.787500,0.272300,0.819327
bookkeeper,3,IBK,NONE,SMOTE,NONE,0.964126,0.537500,0.109047,0.677917
bookkeeper,3,RANDOM_FOREST,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.981061,0.647500,0.201778,0.805962
bookkeeper,3,NAIVE_BAYES,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.961765,0.817500,0.285774,0.819327
bookkeeper,3,IBK,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.964912,0.550000,0.115337,0.677917
bookkeeper,3,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.980583,0.505000,0.124029,0.788397
bookkeeper,3,NAIVE_BAYES,BEST_FIRST,NONE,NONE,0.968354,0.765000,0.257916,0.799776
bookkeeper,3,IBK,BEST_FIRST,NONE,NONE,0.962441,0.512500,0.097156,0.660865
bookkeeper,3,RANDOM_FOREST,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.974729,0.675000,0.204489,0.795000
bookkeeper,3,NAIVE_BAYES,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.959302,0.825000,0.282791,0.799776
bookkeeper,3,IBK,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.964286,0.540000,0.110285,0.660865
bookkeeper,3,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,NONE,0.981221,0.522500,0.132736,0.781603
bookkeeper,3,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,NONE,0.971609,0.770000,0.275068,0.801635
bookkeeper,3,IBK,BEST_FIRST,OVER_SAMPLING,NONE,0.969163,0.550000,0.123434,0.663686
bookkeeper,3,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.965157,0.692500,0.188991,0.792179
bookkeeper,3,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.959302,0.825000,0.282791,0.801635
bookkeeper,3,IBK,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.970588,0.577500,0.138467,0.663686
bookkeeper,3,RANDOM_FOREST,BEST_FIRST,SMOTE,NONE,0.980583,0.505000,0.124029,0.773814
bookkeeper,3,NAIVE_BAYES,BEST_FIRST,SMOTE,NONE,0.970492,0.740000,0.242583,0.806154
bookkeeper,3,IBK,BEST_FIRST,SMOTE,NONE,0.968182,0.532500,0.114514,0.658013
bookkeeper,3,RANDOM_FOREST,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.983871,0.610000,0.183939,0.782468
bookkeeper,3,NAIVE_BAYES,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.959064,0.820000,0.275883,0.806154
bookkeeper,3,IBK,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.969298,0.552500,0.124748,0.658013
bookkeeper,4,RANDOM_FOREST,NONE,NONE,NONE,0.732500,0.909938,0.003995,0.714983
bookkeeper,4,NAIVE_BAYES,NONE,NONE,NONE,0.731818,1.000000,0.000000,0.844405
bookkeeper,4,IBK,NONE,NONE,NONE,0.732824,0.894410,0.005658,0.690546
bookkeeper,4,RANDOM_FOREST,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.731818,1.000000,0.000000,0.616723
bookkeeper,4,NAIVE_BAYES,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.731818,1.000000,0.000000,0.844405
bookkeeper,4,IBK,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.733173,0.947205,0.008730,0.690810
bookkeeper,4,RANDOM_FOREST,NONE,OVER_SAMPLING,NONE,0.732984,0.869565,0.006149,0.708983
bookkeeper,4,NAIVE_BAYES,NONE,OVER_SAMPLING,NONE,0.731818,1.000000,0.000000,0.852208
bookkeeper,4,IBK,NONE,OVER_SAMPLING,NONE,0.730366,0.866460,-0.007655,0.694836
bookkeeper,4,RANDOM_FOREST,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.730310,0.950311,-0.009893,0.699337
bookkeeper,4,NAIVE_BAYES,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.731818,1.000000,0.000000,0.852208
bookkeeper,4,IBK,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.733333,0.888199,0.008371,0.694836
bookkeeper,4,RANDOM_FOREST,NONE,SMOTE,NONE,0.726790,0.850932,-0.025752,0.693849
bookkeeper,4,NAIVE_BAYES,NONE,SMOTE,NONE,0.731818,1.000000,0.000000,0.851379
bookkeeper,4,IBK,NONE,SMOTE,NONE,0.721622,0.829193,-0.050151,0.684296
