Version,File_Name,LOC,LOC_TOUCHED,CHURN,AVERAGE_LOC_ADDED,MAX_LOC_ADDED,AVERAGE_CHURN,MAX_CHURN,NR,AGE,N_FIX,Buggy
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,533,533,2,4,0,8,8,1.0,0,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,603,603,9,15,13,30,9,1.0,0,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,148,0,0,0,0,1,1.0,0,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,174,174,0,0,1,1,3,1.0,0,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,148,148,0,0,1,1,3,1.0,0,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,92,92,541,678,539,676,6,1.0,0,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,234,234,12,53,30,129,6,1.0,0,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,54,54,0,0,0,0,3,1.0,0,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,38,38,0,0,0,0,2,1.0,0,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,98,98,0,0,0,0,2,1.0,0,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,39,39,0,0,1,1,3,1.0,0,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,69,69,25,25,25,25,3,1.0,0,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,94,0,0,0,0,1,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,261,261,261,0,0,8,15,3,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,90,90,90,0,0,0,0,1,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,71,71,71,0,0,0,8,4,1.0,0,false
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,617,617,617,5,6,3,5,5,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,139,139,139,0,0,1,3,4,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,345,345,345,0,0,0,1,3,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java,47,47,47,0,0,0,0,1,1.0,0,false
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java,47,47,47,0,0,0,0,1,1.0,0,false
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,47,47,47,0,0,0,0,1,1.0,0,false
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,46,46,46,0,0,0,0,1,1.0,0,false
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,47,47,47,0,0,0,0,1,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,136,136,136,0,0,0,0,1,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,261,261,261,0,0,0,0,1,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,113,113,113,0,0,0,0,2,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,258,258,258,0,1,2,4,4,1.0,0,false
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,257,257,257,0,5,-12,53,12,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,242,242,242,0,0,1,2,6,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,305,305,305,0,2,0,2,6,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,219,219,219,7,14,6,9,3,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,1040,1040,1040,24,49,96,338,10,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,92,92,92,0,0,0,0,3,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,75,75,75,0,0,1,1,3,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,188,188,188,0,0,2,5,6,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,118,118,118,0,0,0,0,3,1.0,0,false
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,55,55,55,0,0,0,0,1,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,154,154,154,10,10,10,11,4,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java,114,114,114,0,0,-15,1,4,1.0,0,true
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,120,120,120,0,0,0,0,5,1.0,0,false
0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,63,63,63,0,0,1,1,3,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,72,0,0,0,0,1,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,42,0,0,0,0,1,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,48,48,0,0,0,0,3,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,63,63,0,0,0,0,2,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,237,237,0,0,0,0,2,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,133,133,0,0,0,0,3,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,137,137,0,0,0,1,4,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,177,177,0,0,1,1,3,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,46,46,0,0,0,0,2,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,128,128,0,0,0,1,5,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,149,149,0,0,1,1,3,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,58,58,0,0,0,0,2,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,149,149,0,0,0,0,2,1.0,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,74,74,0,0,0,0,2,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,37,37,0,0,0,0,1,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,38,38,0,0,0,0,2,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,39,39,0,0,0,0,2,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,96,96,0,0,0,1,4,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,88,88,0,0,1,1,3,1.0,0,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,71,71,0,0,0,1,4,1.0,0,false
