Project,#TrainingRelease,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,Kappa,AUC
avro,3,IBK,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.776471,0.814815,-0.096774,0.414462
avro,3,RANDOM_FOREST,NONE,SMOTE,NONE,0.806818,0.876543,0.076459,0.559965
avro,3,NAIVE_BAYES,NONE,SMOTE,NONE,0.800000,0.987654,0.053050,0.414168
avro,3,IBK,NONE,SMOTE,NONE,0.773810,0.802469,-0.108007,0.412111
avro,3,RANDOM_FOREST,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.792079,0.987654,-0.019074,0.557025
avro,3,NAIVE_BAYES,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.794118,1.000000,0.000000,0.414168
avro,3,IBK,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.773810,0.802469,-0.108007,0.412111
avro,3,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.800000,0.888889,0.037736,0.557025
avro,3,NAIVE_BAYES,BEST_FIRST,NONE,NONE,0.797980,0.975309,0.033592,0.491770
avro,3,IBK,BEST_FIRST,NONE,NONE,0.790698,0.839506,-0.019342,0.483245
avro,3,RANDOM_FOREST,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.790000,0.975309,-0.037135,0.580835
avro,3,NAIVE_BAYES,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.794118,1.000000,0.000000,0.491770
avro,3,IBK,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.790698,0.839506,-0.019342,0.483245
avro,3,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,NONE,0.781609,0.839506,-0.072978,0.563786
avro,3,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,NONE,0.792079,0.987654,-0.019074,0.571723
avro,3,IBK,BEST_FIRST,OVER_SAMPLING,NONE,0.784810,0.765432,-0.042589,0.472663
avro,3,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.790000,0.975309,-0.037135,0.570253
avro,3,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.794118,1.000000,0.000000,0.571723
avro,3,IBK,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.784810,0.765432,-0.042589,0.472663
avro,3,RANDOM_FOREST,BEST_FIRST,SMOTE,NONE,0.786667,0.728395,-0.030303,0.567901
avro,3,NAIVE_BAYES,BEST_FIRST,SMOTE,NONE,0.790000,0.975309,-0.037135,0.571723
avro,3,IBK,BEST_FIRST,SMOTE,NONE,0.784810,0.765432,-0.042589,0.474427
avro,3,RANDOM_FOREST,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.785714,0.950617,-0.070529,0.580247
avro,3,NAIVE_BAYES,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.794118,1.000000,0.000000,0.571723
avro,3,IBK,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.784810,0.765432,-0.042589,0.474427
avro,4,RANDOM_FOREST,NONE,NONE,NONE,0.894309,0.780142,-0.056325,0.589362
avro,4,NAIVE_BAYES,NONE,NONE,NONE,0.901786,0.716312,-0.009132,0.569267
avro,4,IBK,NONE,NONE,NONE,0.935780,0.723404,0.131445,0.628369
avro,4,RANDOM_FOREST,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.903846,1.000000,0.000000,0.540898
avro,4,NAIVE_BAYES,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.914729,0.836879,0.076280,0.569267
avro,4,IBK,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.935780,0.723404,0.131445,0.628369
avro,4,RANDOM_FOREST,NONE,OVER_SAMPLING,NONE,0.911765,0.659574,0.027559,0.620331
avro,4,NAIVE_BAYES,NONE,OVER_SAMPLING,NONE,0.897196,0.680851,-0.026075,0.568322
avro,4,IBK,NONE,OVER_SAMPLING,NONE,0.928571,0.645390,0.078358,0.598818
