Version,File_Name,LOC,LOC_TOUCHED,CHURN,AVERAGE_LOC_ADDED,MAX_LOC_ADDED,AVERAGE_CHURN,MAX_CHURN,NR,AGE,N_FIX,Buggy
1,src/test/java/org/apache/avro/TestProtocolSpecific.java,167,167,167,10,17,-20,12,12,1.0,0,false
1,src/test/java/org/apache/avro/TestReflect.java,55,55,55,7,13,-6,9,6,1.0,0,true
1,src/test/java/org/apache/avro/TestSchema.java,233,233,233,4,11,-22,30,16,1.0,0,true
1,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,78,78,78,0,0,0,0,1,1.0,0,false
1,src/test/java/org/apache/avro/io/TestBlockingIO.java,467,467,467,0,0,-17,-17,3,1.0,0,false
1,src/test/java/org/apache/avro/io/TestParsingTable.java,222,222,222,0,0,-17,-17,2,1.0,0,false
1,src/test/java/org/apache/avro/io/TestResolvingIO.java,360,360,360,0,0,-17,-17,2,1.0,0,false
1,src/test/java/org/apache/avro/io/TestResolvingTable.java,406,406,406,0,0,-17,-17,2,1.0,0,false
1,src/test/java/org/apache/avro/io/TestValidatingIO.java,647,647,647,0,0,-17,-17,2,1.0,0,false
1,src/test/java/org/apache/avro/test/TestInvocationReporter.java,35,35,35,0,0,0,0,1,1.0,0,false
1,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,39,39,39,0,0,0,0,1,1.0,0,false
1,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,39,39,39,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/AvroRuntimeException.java,24,1,1,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/AvroTypeException.java,25,1,1,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/Protocol.java,341,3,3,0,0,0,0,2,1.0,1,false
2,src/java/org/apache/avro/Schema.java,728,52,6,8,25,-12,7,4,1.0,2,false
2,src/java/org/apache/avro/SchemaParseException.java,24,1,1,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/file/DataFileReader.java,218,1,1,0,0,0,0,1,1.0,0,true
2,src/java/org/apache/avro/file/DataFileWriter.java,206,14,14,0,0,-13,-13,2,1.0,1,true
2,src/java/org/apache/avro/file/SeekableFileInput.java,34,3,3,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/file/SeekableInput.java,36,1,1,0,0,0,0,2,1.0,1,false
2,src/java/org/apache/avro/generic/GenericArray.java,36,1,1,0,0,0,0,2,1.0,0,false
2,src/java/org/apache/avro/generic/GenericContainer.java,26,27,27,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/generic/GenericData.java,428,152,150,0,1,-63,4,3,1.0,0,true
2,src/java/org/apache/avro/generic/GenericDatumReader.java,462,5,1,0,2,0,0,4,1.0,1,true
2,src/java/org/apache/avro/generic/GenericDatumWriter.java,191,79,-61,73,77,68,72,3,1.0,1,true
2,src/java/org/apache/avro/generic/GenericFixed.java,24,0,0,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/generic/GenericRecord.java,24,-4,4,5,5,5,5,2,1.0,0,false
2,src/java/org/apache/avro/generic/GenericRequestor.java,57,1,1,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/generic/GenericResponder.java,54,1,1,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/io/BinaryData.java,192,192,192,46,46,85,86,3,1.0,0,false
2,src/java/org/apache/avro/io/BinaryDecoder.java,300,1,1,0,0,0,0,2,1.0,1,false
2,src/java/org/apache/avro/io/BinaryEncoder.java,250,1,1,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,627,6,6,0,0,-5,-5,2,1.0,1,false
2,src/java/org/apache/avro/io/DatumReader.java,37,0,0,0,0,0,0,0,1.0,0,false
2,src/java/org/apache/avro/io/DatumWriter.java,35,1,1,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/io/Decoder.java,279,11,-7,0,1,0,0,3,1.0,1,false
2,src/java/org/apache/avro/io/Encoder.java,274,2,0,0,0,0,0,1,1.0,0,false
2,src/java/org/apache/avro/io/JsonDecoder.java,398,399,399,7,9,5,6,3,1.0,1,false
2,src/java/org/apache/avro/io/JsonEncoder.java,240,241,241,1,2,3,4,3,1.0,1,true
